code,treatment,strength,route
71335-1128-1,Carvedilol,3.125 mg/1,ORAL
71335-1128-2,Carvedilol,3.125 mg/1,ORAL
71335-1128-3,Carvedilol,3.125 mg/1,ORAL
71335-1128-4,Carvedilol,3.125 mg/1,ORAL
71335-1128-5,Carvedilol,3.125 mg/1,ORAL
71335-1128-6,Carvedilol,3.125 mg/1,ORAL
68001-153-00,Carvedilol,3.125 mg/1,ORAL
71610-132-53,Carvedilol,3.125 mg/1,ORAL
35356-526-90,Carvedilol,25 mg/1,ORAL
0093-7295-01,Carvedilol,12.5 mg/1,ORAL
0093-7295-05,Carvedilol,12.5 mg/1,ORAL
0093-7296-01,Carvedilol,25 mg/1,ORAL
0093-7296-05,Carvedilol,25 mg/1,ORAL
68788-9265-3,Carvedilol,25 mg/1,ORAL
71610-066-60,Carvedilol,12.5 mg/1,ORAL
71610-132-80,Carvedilol,3.125 mg/1,ORAL
71335-1407-1,Carvedilol,3.125 mg/1,ORAL
71335-1407-2,Carvedilol,3.125 mg/1,ORAL
71335-1407-3,Carvedilol,3.125 mg/1,ORAL
71335-1407-4,Carvedilol,3.125 mg/1,ORAL
71335-1407-5,Carvedilol,3.125 mg/1,ORAL
71335-1407-6,Carvedilol,3.125 mg/1,ORAL
43353-837-53,Carvedilol,3.125 mg/1,ORAL
71335-1463-1,Carvedilol,25 mg/1,ORAL
71335-1463-2,Carvedilol,25 mg/1,ORAL
71335-1463-3,Carvedilol,25 mg/1,ORAL
71335-1463-4,Carvedilol,25 mg/1,ORAL
71335-1463-5,Carvedilol,25 mg/1,ORAL
71335-1463-6,Carvedilol,25 mg/1,ORAL
71335-1533-1,Carvedilol,12.5 mg/1,ORAL
71335-1533-2,Carvedilol,12.5 mg/1,ORAL
71335-1533-3,Carvedilol,12.5 mg/1,ORAL
71335-1533-4,Carvedilol,12.5 mg/1,ORAL
71335-1533-5,Carvedilol,12.5 mg/1,ORAL
71335-1533-6,Carvedilol,12.5 mg/1,ORAL
71335-1545-1,Carvedilol,12.5 mg/1,ORAL
71335-1545-2,Carvedilol,12.5 mg/1,ORAL
71335-1545-3,Carvedilol,12.5 mg/1,ORAL
71335-1545-4,Carvedilol,12.5 mg/1,ORAL
71335-1545-5,Carvedilol,12.5 mg/1,ORAL
71335-1545-6,Carvedilol,12.5 mg/1,ORAL
51407-052-30,Carvedilol,40 mg/1,ORAL
69784-713-13,Carvedilol,10 mg/1,ORAL
69784-714-13,Carvedilol,20 mg/1,ORAL
69784-715-13,Carvedilol,40 mg/1,ORAL
69784-716-13,Carvedilol,80 mg/1,ORAL
51407-053-30,Carvedilol,80 mg/1,ORAL
57664-665-83,Carvedilol,40 mg/1,ORAL
57664-663-83,Carvedilol,10 mg/1,ORAL
57664-664-83,Carvedilol,20 mg/1,ORAL
60505-3678-3,Carvedilol,10 mg/1,ORAL
60505-3680-3,Carvedilol,40 mg/1,ORAL
51407-050-30,Carvedilol,10 mg/1,ORAL
51407-051-30,Carvedilol,20 mg/1,ORAL
60505-4713-3,Carvedilol,10 mg/1,ORAL
60505-4714-3,Carvedilol,20 mg/1,ORAL
60505-4715-3,Carvedilol,40 mg/1,ORAL
60505-4716-3,Carvedilol,80 mg/1,ORAL
16714-227-01,Carvedilol,10 mg/1,ORAL
16714-228-01,Carvedilol,20 mg/1,ORAL
16714-229-01,Carvedilol,40 mg/1,ORAL
16714-230-01,Carvedilol,80 mg/1,ORAL
60505-3679-3,Carvedilol,20 mg/1,ORAL
60505-3681-3,Carvedilol,80 mg/1,ORAL
57664-666-83,Carvedilol,80 mg/1,ORAL
63629-8794-1,Carvedilol,80 mg/1,ORAL
0007-3383-13,Carvedilol,10 mg/1,ORAL
0007-3385-13,Carvedilol,20 mg/1,ORAL
0007-3387-13,Carvedilol,40 mg/1,ORAL
0007-3388-13,Carvedilol,80 mg/1,ORAL
0007-3370-13,Carvedilol,10 mg/1,ORAL
0007-3371-13,Carvedilol,20 mg/1,ORAL
0007-3372-13,Carvedilol,40 mg/1,ORAL
0007-3373-13,Carvedilol,80 mg/1,ORAL
0007-3373-61,Carvedilol,80 mg/1,ORAL
0007-4139-20,Carvedilol,3.125 mg/1,ORAL
0007-4140-20,Carvedilol,6.25 mg/1,ORAL
0007-4141-20,Carvedilol,12.5 mg/1,ORAL
0007-4142-20,Carvedilol,25 mg/1,ORAL
10019-670-10,Esmolol,10 mg/mL,INTRAVENOUS
10019-666-10,Esmolol,20 mg/mL,INTRAVENOUS
10019-672-10,Esmolol,10 mg/mL,INTRAVENOUS
10019-055-61,Esmolol,10 mg/mL,INTRAVENOUS
10019-075-87,Esmolol,20 mg/mL,INTRAVENOUS
10019-115-01,Esmolol,10 mg/mL,INTRAVENOUS
10019-668-10,Esmolol,20 mg/mL,INTRAVENOUS
0404-9825-10,Esmolol,10 mg/mL,INTRAVENOUS
55150-420-10,Esmolol,10 mg/mL,INTRAVENOUS
55150-421-10,Esmolol,20 mg/mL,INTRAVENOUS
44567-812-10,Esmolol,20 mg/mL,INTRAVENOUS
0404-9858-10,Esmolol,100 mg/10mL,INTRAVENOUS
25021-308-84,Esmolol,10 mg/mL,INTRAVENOUS
25021-309-82,Esmolol,20 mg/mL,INTRAVENOUS
25021-314-10,Esmolol,10 mg/mL,INTRAVENOUS
51662-1322-1,Esmolol,10 mg/mL,INTRAVENOUS
44567-811-10,Esmolol,10 mg/mL,INTRAVENOUS
50090-4512-0,Esmolol,100 mg/10mL,INTRAVENOUS
50090-4699-0,Esmolol,10 mg/mL,INTRAVENOUS
55150-194-10,Esmolol,100 mg/10mL,INTRAVENOUS
51662-1371-1,Esmolol,10 mg/mL,INTRAVENOUS
51662-1427-1,Esmolol,10 mg/mL,INTRAVENOUS
51662-1444-1,Esmolol,100 mg/10mL,INTRAVENOUS
71872-7049-1,Esmolol,100 mg/10mL,INTRAVENOUS
10019-120-01,Esmolol,10 mg/mL,INTRAVENOUS
68083-211-25,Esmolol,10 mg/mL,INTRAVENOUS
52584-194-10,Esmolol,100 mg/10mL,INTRAVENOUS
63323-652-10,Esmolol,10 mg/mL,INTRAVENOUS
67457-182-10,Esmolol,10 mg/mL,INTRAVENOUS
71872-7136-1,Esmolol,10 mg/mL,INTRAVENOUS
67457-657-25,Esmolol,10 mg/mL,INTRAVENOUS
67457-658-10,Esmolol,20 mg/mL,INTRAVENOUS
71335-0696-4,Labetalol,300 mg/1,ORAL
71335-2063-1,Labetalol,200 mg/1,ORAL
71335-2063-2,Labetalol,200 mg/1,ORAL
71335-2063-3,Labetalol,200 mg/1,ORAL
70518-1546-0,Labetalol,100 mg/1,ORAL
70518-3411-0,Labetalol,200 mg/1,ORAL
50090-1161-1,Labetalol,100 mg/1,ORAL
0615-8131-39,Labetalol,200 mg/1,ORAL
63629-2211-1,Labetalol,100 mg/1,ORAL
63629-2212-1,Labetalol,100 mg/1,ORAL
63629-2213-1,Labetalol,200 mg/1,ORAL
63629-2214-1,Labetalol,200 mg/1,ORAL
63629-2215-1,Labetalol,300 mg/1,ORAL
63629-2216-1,Labetalol,300 mg/1,ORAL
71335-0696-5,Labetalol,300 mg/1,ORAL
0185-0010-01,Labetalol,100 mg/1,ORAL
0185-0010-05,Labetalol,100 mg/1,ORAL
0185-0117-01,Labetalol,200 mg/1,ORAL
0185-0117-05,Labetalol,200 mg/1,ORAL
0185-0118-01,Labetalol,300 mg/1,ORAL
0185-0118-05,Labetalol,300 mg/1,ORAL
49884-122-01,Labetalol,100 mg/1,ORAL
49884-122-05,Labetalol,100 mg/1,ORAL
60760-628-90,Labetalol,100 mg/1,ORAL
49884-123-05,Labetalol,200 mg/1,ORAL
0615-8130-39,Labetalol,100 mg/1,ORAL
71335-0696-2,Labetalol,300 mg/1,ORAL
50090-1161-0,Labetalol,100 mg/1,ORAL
60760-610-90,Labetalol,100 mg/1,ORAL
50090-1290-0,Labetalol,200 mg/1,ORAL
50090-1290-1,Labetalol,200 mg/1,ORAL
50090-1291-0,Labetalol,300 mg/1,ORAL
50090-1291-1,Labetalol,300 mg/1,ORAL
49884-123-01,Labetalol,200 mg/1,ORAL
70518-1546-1,Labetalol,100 mg/1,ORAL
71335-0696-1,Labetalol,300 mg/1,ORAL
71335-0696-3,Labetalol,300 mg/1,ORAL
49884-124-05,Labetalol,300 mg/1,ORAL
70934-913-60,Labetalol,100 mg/1,ORAL
49884-124-01,Labetalol,300 mg/1,ORAL
71335-0733-4,Labetalol,100 mg/1,ORAL
71335-0733-3,Labetalol,100 mg/1,ORAL
71335-1410-1,Labetalol,300 mg/1,ORAL
71335-1410-2,Labetalol,300 mg/1,ORAL
71335-1410-3,Labetalol,300 mg/1,ORAL
71335-1410-4,Labetalol,300 mg/1,ORAL
71335-1410-5,Labetalol,300 mg/1,ORAL
71335-0733-1,Labetalol,100 mg/1,ORAL
71335-0733-2,Labetalol,100 mg/1,ORAL
0143-9366-10,Labetalol,1 mg/mL,INTRAVENOUS
0143-9363-10,Labetalol,1 mg/mL,INTRAVENOUS
0143-9364-10,Labetalol,1 mg/mL,INTRAVENOUS
0143-9365-10,Labetalol,1 mg/mL,INTRAVENOUS
65145-124-01,Labetalol,5 mg/mL,INTRAVENOUS
65145-125-01,Labetalol,5 mg/mL,INTRAVENOUS
68382-798-06,Labetalol,100 mg/1,ORAL
68382-800-05,Labetalol,300 mg/1,ORAL
68382-800-16,Labetalol,300 mg/1,ORAL
63629-2053-1,Labetalol,200 mg/1,ORAL
63629-2054-1,Labetalol,300 mg/1,ORAL
63629-2055-1,Labetalol,300 mg/1,ORAL
47781-552-05,Labetalol,100 mg/1,ORAL
47781-552-01,Labetalol,100 mg/1,ORAL
70771-1163-1,Labetalol,100 mg/1,ORAL
70771-1165-1,Labetalol,300 mg/1,ORAL
0143-9622-01,Labetalol,5 mg/mL,INTRAVENOUS
0143-9623-01,Labetalol,5 mg/mL,INTRAVENOUS
68382-798-05,Labetalol,100 mg/1,ORAL
68382-799-01,Labetalol,200 mg/1,ORAL
71335-2057-1,Labetalol,200 mg/1,ORAL
71335-2057-2,Labetalol,200 mg/1,ORAL
71335-2057-3,Labetalol,200 mg/1,ORAL
47781-553-01,Labetalol,200 mg/1,ORAL
47781-554-01,Labetalol,300 mg/1,ORAL
55154-8192-0,Labetalol,100 mg/1,ORAL
23155-723-01,Labetalol,100 mg/1,ORAL
23155-723-05,Labetalol,100 mg/1,ORAL
23155-724-01,Labetalol,200 mg/1,ORAL
23155-724-05,Labetalol,200 mg/1,ORAL
23155-725-01,Labetalol,300 mg/1,ORAL
23155-725-05,Labetalol,300 mg/1,ORAL
51662-1228-1,Labetalol,5 mg/mL,INTRAVENOUS
71930-035-12,Labetalol,100 mg/1,ORAL
71930-035-52,Labetalol,100 mg/1,ORAL
71930-036-12,Labetalol,200 mg/1,ORAL
71930-036-52,Labetalol,200 mg/1,ORAL
71930-037-12,Labetalol,300 mg/1,ORAL
71930-037-52,Labetalol,300 mg/1,ORAL
70518-2728-0,Labetalol,100 mg/1,ORAL
68382-798-16,Labetalol,100 mg/1,ORAL
68382-799-05,Labetalol,200 mg/1,ORAL
68382-800-06,Labetalol,300 mg/1,ORAL
72266-102-01,Labetalol,5 mg/mL,INTRAVENOUS
72266-103-01,Labetalol,5 mg/mL,INTRAVENOUS
47781-553-05,Labetalol,200 mg/1,ORAL
70518-1163-1,Labetalol,200 mg/1,ORAL
70771-1163-3,Labetalol,100 mg/1,ORAL
70771-1163-9,Labetalol,100 mg/1,ORAL
70771-1164-5,Labetalol,200 mg/1,ORAL
70518-2903-0,Labetalol,200 mg/1,ORAL
72572-350-01,Labetalol,5 mg/mL,INTRAVENOUS
72611-734-01,Labetalol,5 mg/mL,INTRAVENOUS
72611-738-01,Labetalol,5 mg/mL,INTRAVENOUS
42806-327-01,Labetalol,100 mg/1,ORAL
42806-327-05,Labetalol,100 mg/1,ORAL
42806-327-10,Labetalol,100 mg/1,ORAL
42806-328-01,Labetalol,200 mg/1,ORAL
42806-328-05,Labetalol,200 mg/1,ORAL
42806-328-10,Labetalol,200 mg/1,ORAL
42806-329-01,Labetalol,300 mg/1,ORAL
42806-329-05,Labetalol,300 mg/1,ORAL
42806-329-10,Labetalol,300 mg/1,ORAL
70771-1164-1,Labetalol,200 mg/1,ORAL
36000-320-10,Labetalol,5 mg/mL,INTRAVENOUS
36000-322-02,Labetalol,5 mg/mL,INTRAVENOUS
36000-324-02,Labetalol,5 mg/mL,INTRAVENOUS
70771-1165-9,Labetalol,300 mg/1,ORAL
50090-3584-0,Labetalol,100 mg/1,ORAL
71247-126-01,Labetalol,100 mg/1,ORAL
71247-126-05,Labetalol,100 mg/1,ORAL
71247-127-01,Labetalol,200 mg/1,ORAL
71247-127-05,Labetalol,200 mg/1,ORAL
71247-130-01,Labetalol,300 mg/1,ORAL
71247-130-05,Labetalol,300 mg/1,ORAL
50090-4149-0,Labetalol,100 mg/1,ORAL
50090-4149-1,Labetalol,100 mg/1,ORAL
50090-4917-1,Labetalol,300 mg/1,ORAL
70518-1163-2,Labetalol,200 mg/1,ORAL
68083-111-01,Labetalol,5 mg/mL,INTRAVENOUS
0591-0605-01,Labetalol,100 mg/1,ORAL
0591-0605-05,Labetalol,100 mg/1,ORAL
0591-0605-10,Labetalol,100 mg/1,ORAL
0591-0606-01,Labetalol,200 mg/1,ORAL
0591-0606-05,Labetalol,200 mg/1,ORAL
0591-0606-10,Labetalol,200 mg/1,ORAL
0591-0607-01,Labetalol,300 mg/1,ORAL
0591-0607-05,Labetalol,300 mg/1,ORAL
0591-0607-10,Labetalol,300 mg/1,ORAL
51662-1228-9,Labetalol,5 mg/mL,INTRAVENOUS
70771-1164-9,Labetalol,200 mg/1,ORAL
70771-1165-3,Labetalol,300 mg/1,ORAL
70771-1165-5,Labetalol,300 mg/1,ORAL
68083-111-02,Labetalol,5 mg/mL,INTRAVENOUS
60760-231-90,Labetalol,100 mg/1,ORAL
70934-751-60,Labetalol,100 mg/1,ORAL
0904-5928-61,Labetalol,100 mg/1,ORAL
0904-5930-61,Labetalol,300 mg/1,ORAL
68382-799-06,Labetalol,200 mg/1,ORAL
68382-799-16,Labetalol,200 mg/1,ORAL
58657-602-01,Labetalol,100 mg/1,ORAL
58657-602-10,Labetalol,100 mg/1,ORAL
58657-602-50,Labetalol,100 mg/1,ORAL
58657-603-01,Labetalol,200 mg/1,ORAL
58657-603-10,Labetalol,200 mg/1,ORAL
58657-603-50,Labetalol,200 mg/1,ORAL
58657-604-01,Labetalol,300 mg/1,ORAL
58657-604-10,Labetalol,300 mg/1,ORAL
58657-604-50,Labetalol,300 mg/1,ORAL
51407-614-01,Labetalol,100 mg/1,ORAL
51407-614-05,Labetalol,100 mg/1,ORAL
51407-615-01,Labetalol,200 mg/1,ORAL
51407-615-05,Labetalol,200 mg/1,ORAL
51407-616-01,Labetalol,300 mg/1,ORAL
60687-439-01,Labetalol,100 mg/1,ORAL
60687-450-01,Labetalol,200 mg/1,ORAL
60687-461-01,Labetalol,300 mg/1,ORAL
55154-2339-0,Labetalol,200 mg/1,ORAL
0409-2267-20,Labetalol,5 mg/mL,INTRAVENOUS
0409-2267-54,Labetalol,5 mg/mL,INTRAVENOUS
0409-2339-34,Labetalol,5 mg/mL,INTRAVENOUS
72888-120-01,Labetalol,100 mg/1,ORAL
72888-120-05,Labetalol,100 mg/1,ORAL
72888-121-01,Labetalol,200 mg/1,ORAL
72888-121-05,Labetalol,200 mg/1,ORAL
63629-1161-1,Labetalol,100 mg/1,ORAL
63629-1162-1,Labetalol,100 mg/1,ORAL
63629-1163-1,Labetalol,200 mg/1,ORAL
63629-1164-1,Labetalol,200 mg/1,ORAL
63629-1165-1,Labetalol,300 mg/1,ORAL
63629-1166-1,Labetalol,300 mg/1,ORAL
72266-103-41,Labetalol,5 mg/mL,INTRAVENOUS
72888-122-01,Labetalol,300 mg/1,ORAL
72888-122-05,Labetalol,300 mg/1,ORAL
17478-420-20,Labetalol,5 mg/mL,INTRAVENOUS
17478-420-40,Labetalol,5 mg/mL,INTRAVENOUS
68001-381-00,Labetalol,100 mg/1,ORAL
68001-381-03,Labetalol,100 mg/1,ORAL
68001-382-00,Labetalol,200 mg/1,ORAL
68001-382-03,Labetalol,200 mg/1,ORAL
68001-383-00,Labetalol,300 mg/1,ORAL
68001-383-03,Labetalol,300 mg/1,ORAL
68382-800-01,Labetalol,300 mg/1,ORAL
63629-5268-1,Labetalol,200 mg/1,ORAL
63629-5268-2,Labetalol,200 mg/1,ORAL
63629-5268-3,Labetalol,200 mg/1,ORAL
63629-5311-1,Labetalol,300 mg/1,ORAL
63629-5311-2,Labetalol,300 mg/1,ORAL
63629-5311-3,Labetalol,300 mg/1,ORAL
63629-5311-4,Labetalol,300 mg/1,ORAL
63629-5311-5,Labetalol,300 mg/1,ORAL
63629-8898-1,Labetalol,100 mg/1,ORAL
63629-8899-1,Labetalol,100 mg/1,ORAL
63629-8900-1,Labetalol,200 mg/1,ORAL
63629-8901-1,Labetalol,200 mg/1,ORAL
63629-8902-1,Labetalol,300 mg/1,ORAL
63629-8903-1,Labetalol,300 mg/1,ORAL
70771-1163-5,Labetalol,100 mg/1,ORAL
70771-1164-3,Labetalol,200 mg/1,ORAL
0143-9320-01,Labetalol,5 mg/mL,INTRAVENOUS
68382-798-01,Labetalol,100 mg/1,ORAL
71205-095-60,Labetalol,100 mg/1,ORAL
71205-095-90,Labetalol,100 mg/1,ORAL
0904-7109-61,Labetalol,100 mg/1,ORAL
0904-7110-61,Labetalol,200 mg/1,ORAL
0904-7111-61,Labetalol,300 mg/1,ORAL
70377-060-11,Labetalol,100 mg/1,ORAL
70377-060-12,Labetalol,100 mg/1,ORAL
70377-060-13,Labetalol,100 mg/1,ORAL
70377-061-11,Labetalol,200 mg/1,ORAL
70377-061-12,Labetalol,200 mg/1,ORAL
70377-061-13,Labetalol,200 mg/1,ORAL
70377-062-11,Labetalol,300 mg/1,ORAL
70377-062-12,Labetalol,300 mg/1,ORAL
70377-062-13,Labetalol,300 mg/1,ORAL
70518-1163-0,Labetalol,200 mg/1,ORAL
0641-6252-10,Labetalol,5 mg/mL,INTRAVENOUS
71209-083-03,Labetalol,100 mg/1,ORAL
71209-083-11,Labetalol,100 mg/1,ORAL
71209-084-03,Labetalol,200 mg/1,ORAL
71209-084-11,Labetalol,200 mg/1,ORAL
71209-085-03,Labetalol,300 mg/1,ORAL
71209-085-11,Labetalol,300 mg/1,ORAL
71205-095-30,Labetalol,100 mg/1,ORAL
71335-1242-1,Labetalol,200 mg/1,ORAL
71335-1242-2,Labetalol,200 mg/1,ORAL
71335-1242-3,Labetalol,200 mg/1,ORAL
55154-4747-5,Labetalol,5 mg/mL,INTRAVENOUS
59212-095-30,Metoprolol,12.5 mg/1,
10631-011-30,Metoprolol,200 mg/1,ORAL
10631-008-30,Metoprolol,25 mg/1,ORAL
10631-009-30,Metoprolol,50 mg/1,ORAL
10631-010-30,Metoprolol,100 mg/1,ORAL
71872-7155-1,Metoprolol,5 mg/5mL,INTRAVENOUS
63323-660-05,Metoprolol,5 mg/5mL,INTRAVENOUS
55154-4451-5,Metoprolol,5 mg/5mL,INTRAVENOUS
55700-232-90,Metoprolol,100 mg/1,ORAL
68001-120-00,Metoprolol,200 mg/1,ORAL
70518-3164-1,Metoprolol,50 mg/1,ORAL
55700-253-90,Metoprolol,25 mg/1,ORAL
64679-734-01,Metoprolol,25 mg/1,ORAL
64679-734-03,Metoprolol,25 mg/1,ORAL
64679-736-03,Metoprolol,100 mg/1,ORAL
64679-736-09,Metoprolol,100 mg/1,ORAL
71335-0864-6,Metoprolol,50 mg/1,ORAL
71335-0864-7,Metoprolol,50 mg/1,ORAL
55700-192-30,Metoprolol,50 mg/1,ORAL
71335-0864-2,Metoprolol,50 mg/1,ORAL
71335-0864-4,Metoprolol,50 mg/1,ORAL
68382-564-01,Metoprolol,25 mg/1,ORAL
68382-565-05,Metoprolol,50 mg/1,ORAL
68382-567-10,Metoprolol,200 mg/1,ORAL
68001-356-03,Metoprolol,25 mg/1,ORAL
0378-4595-10,Metoprolol,25 mg/1,ORAL
0378-4595-77,Metoprolol,25 mg/1,ORAL
0378-4596-10,Metoprolol,50 mg/1,ORAL
0378-4596-77,Metoprolol,50 mg/1,ORAL
0378-4597-10,Metoprolol,100 mg/1,ORAL
0378-4597-77,Metoprolol,100 mg/1,ORAL
0378-4598-05,Metoprolol,200 mg/1,ORAL
0378-4598-77,Metoprolol,200 mg/1,ORAL
71610-642-60,Metoprolol,50 mg/1,ORAL
71335-1875-6,Metoprolol,25 mg/1,ORAL
71335-1878-7,Metoprolol,50 mg/1,ORAL
71335-1951-7,Metoprolol,100 mg/1,ORAL
50090-2296-0,Metoprolol,50 mg/1,ORAL
50090-2296-1,Metoprolol,50 mg/1,ORAL
68788-7206-1,Metoprolol,25 mg/1,ORAL
68788-7206-2,Metoprolol,25 mg/1,ORAL
0615-7825-05,Metoprolol,100 mg/1,ORAL
50742-615-05,Metoprolol,25 mg/1,ORAL
50742-616-01,Metoprolol,50 mg/1,ORAL
50742-616-10,Metoprolol,50 mg/1,ORAL
50742-617-05,Metoprolol,100 mg/1,ORAL
50742-618-90,Metoprolol,200 mg/1,ORAL
68001-122-03,Metoprolol,50 mg/1,ORAL
71610-509-45,Metoprolol,100 mg/1,ORAL
71610-509-60,Metoprolol,100 mg/1,ORAL
71610-512-45,Metoprolol,25 mg/1,ORAL
71610-512-60,Metoprolol,25 mg/1,ORAL
0904-6322-06,Metoprolol,25 mg/1,ORAL
68071-1921-3,Metoprolol,100 mg/1,ORAL
68071-1921-6,Metoprolol,100 mg/1,ORAL
68071-1921-9,Metoprolol,100 mg/1,ORAL
68071-2651-1,Metoprolol,100 mg/1,ORAL
55700-192-90,Metoprolol,50 mg/1,ORAL
50090-5950-0,Metoprolol,50 mg/1,ORAL
50090-5950-1,Metoprolol,50 mg/1,ORAL
64679-846-02,Metoprolol,25 mg/1,ORAL
64679-846-03,Metoprolol,25 mg/1,ORAL
64679-846-10,Metoprolol,25 mg/1,ORAL
64679-847-02,Metoprolol,50 mg/1,ORAL
64679-847-03,Metoprolol,50 mg/1,ORAL
64679-847-10,Metoprolol,50 mg/1,ORAL
64679-848-02,Metoprolol,100 mg/1,ORAL
64679-848-03,Metoprolol,100 mg/1,ORAL
64679-848-10,Metoprolol,100 mg/1,ORAL
70771-1341-0,Metoprolol,200 mg/1,ORAL
50268-541-15,Metoprolol,50 mg/1,ORAL
75834-290-00,Metoprolol,25 mg/1,ORAL
75834-290-01,Metoprolol,25 mg/1,ORAL
75834-290-05,Metoprolol,25 mg/1,ORAL
75834-291-00,Metoprolol,50 mg/1,ORAL
75834-291-01,Metoprolol,50 mg/1,ORAL
75834-291-05,Metoprolol,50 mg/1,ORAL
75834-292-00,Metoprolol,100 mg/1,ORAL
75834-292-01,Metoprolol,100 mg/1,ORAL
75834-292-05,Metoprolol,100 mg/1,ORAL
75834-293-00,Metoprolol,200 mg/1,ORAL
75834-293-01,Metoprolol,200 mg/1,ORAL
75834-293-05,Metoprolol,200 mg/1,ORAL
50742-615-01,Metoprolol,25 mg/1,ORAL
68788-7263-2,Metoprolol,100 mg/1,ORAL
64679-849-02,Metoprolol,200 mg/1,ORAL
64679-849-03,Metoprolol,200 mg/1,ORAL
68001-119-03,Metoprolol,100 mg/1,ORAL
68001-120-03,Metoprolol,200 mg/1,ORAL
68001-121-00,Metoprolol,25 mg/1,ORAL
68071-2191-3,Metoprolol,25 mg/1,ORAL
68071-2191-6,Metoprolol,25 mg/1,ORAL
60760-492-90,Metoprolol,100 mg/1,ORAL
50090-5394-0,Metoprolol,25 mg/1,ORAL
53002-2781-0,Metoprolol,25 mg/1,ORAL
53002-2781-3,Metoprolol,25 mg/1,ORAL
71335-0167-7,Metoprolol,100 mg/1,ORAL
24979-037-01,Metoprolol,25 mg/1,ORAL
24979-037-02,Metoprolol,25 mg/1,ORAL
24979-037-03,Metoprolol,25 mg/1,ORAL
24979-038-01,Metoprolol,50 mg/1,ORAL
24979-038-02,Metoprolol,50 mg/1,ORAL
24979-038-03,Metoprolol,50 mg/1,ORAL
24979-039-01,Metoprolol,100 mg/1,ORAL
24979-039-02,Metoprolol,100 mg/1,ORAL
24979-039-03,Metoprolol,100 mg/1,ORAL
24979-040-01,Metoprolol,200 mg/1,ORAL
50090-3808-1,Metoprolol,50 mg/1,ORAL
71610-161-60,Metoprolol,25 mg/1,ORAL
53002-2612-0,Metoprolol,50 mg/1,ORAL
53002-2612-3,Metoprolol,50 mg/1,ORAL
71335-1875-1,Metoprolol,25 mg/1,ORAL
71335-1875-2,Metoprolol,25 mg/1,ORAL
71335-1875-3,Metoprolol,25 mg/1,ORAL
71335-1875-4,Metoprolol,25 mg/1,ORAL
71335-1875-5,Metoprolol,25 mg/1,ORAL
68788-7263-6,Metoprolol,100 mg/1,ORAL
62732-1046-1,Metoprolol,100 mg/1,ORAL
71335-0864-1,Metoprolol,50 mg/1,ORAL
72516-030-01,Metoprolol,25 mg/1,ORAL
72516-030-10,Metoprolol,25 mg/1,ORAL
72516-030-50,Metoprolol,25 mg/1,ORAL
72516-031-01,Metoprolol,50 mg/1,ORAL
72516-031-10,Metoprolol,50 mg/1,ORAL
72516-031-50,Metoprolol,50 mg/1,ORAL
72516-032-01,Metoprolol,100 mg/1,ORAL
72516-032-10,Metoprolol,100 mg/1,ORAL
72516-032-50,Metoprolol,100 mg/1,ORAL
72516-033-01,Metoprolol,200 mg/1,ORAL
71335-1878-1,Metoprolol,50 mg/1,ORAL
71335-1878-2,Metoprolol,50 mg/1,ORAL
71335-1878-3,Metoprolol,50 mg/1,ORAL
71335-1878-4,Metoprolol,50 mg/1,ORAL
71335-1878-5,Metoprolol,50 mg/1,ORAL
71335-1878-6,Metoprolol,50 mg/1,ORAL
68001-357-03,Metoprolol,50 mg/1,ORAL
68001-358-03,Metoprolol,100 mg/1,ORAL
68001-360-00,Metoprolol,200 mg/1,ORAL
50090-5733-0,Metoprolol,25 mg/1,ORAL
50090-5733-1,Metoprolol,25 mg/1,ORAL
50090-5733-3,Metoprolol,25 mg/1,ORAL
71335-1951-1,Metoprolol,100 mg/1,ORAL
71335-1951-2,Metoprolol,100 mg/1,ORAL
71335-1951-3,Metoprolol,100 mg/1,ORAL
71335-1951-4,Metoprolol,100 mg/1,ORAL
71335-1951-5,Metoprolol,100 mg/1,ORAL
71335-1951-6,Metoprolol,100 mg/1,ORAL
31722-589-05,Metoprolol,25 mg/1,ORAL
31722-589-10,Metoprolol,25 mg/1,ORAL
31722-590-05,Metoprolol,50 mg/1,ORAL
31722-590-10,Metoprolol,50 mg/1,ORAL
31722-591-05,Metoprolol,100 mg/1,ORAL
16714-852-02,Metoprolol,25 mg/1,ORAL
16714-854-01,Metoprolol,100 mg/1,ORAL
16714-855-01,Metoprolol,200 mg/1,ORAL
16714-852-03,Metoprolol,25 mg/1,ORAL
16714-853-02,Metoprolol,50 mg/1,ORAL
16714-854-03,Metoprolol,100 mg/1,ORAL
16714-853-01,Metoprolol,50 mg/1,ORAL
60760-493-90,Metoprolol,50 mg/1,ORAL
50742-616-90,Metoprolol,50 mg/1,ORAL
31722-591-10,Metoprolol,100 mg/1,ORAL
31722-592-05,Metoprolol,200 mg/1,ORAL
31722-592-10,Metoprolol,200 mg/1,ORAL
71335-0786-1,Metoprolol,100 mg/1,ORAL
71335-0786-2,Metoprolol,100 mg/1,ORAL
71335-0786-3,Metoprolol,100 mg/1,ORAL
71335-0786-4,Metoprolol,100 mg/1,ORAL
71335-0786-5,Metoprolol,100 mg/1,ORAL
71335-0786-6,Metoprolol,100 mg/1,ORAL
71335-0786-7,Metoprolol,100 mg/1,ORAL
71610-573-45,Metoprolol,200 mg/1,ORAL
